quote
Dontcrybecauseitsoversmilebecauseithappened
Imselfishimpatientandalittleinsecure
Beyourself;everyoneelseisalreadytaken
Twothingsareinfinite:theuniverseandhumanstupidity;andImnotsureabouttheuniverse
Bewhoyouareandsaywhatyoufeelbecausethosewhominddontmatterandthosewhomatterdontmind
YouvegottadanceliketheresnobodywatchingLovelikeyoullneverbehurtSingliketheresnobodylisteningAndlivelikeitsheavenonearth
Youknowyoureinlovewhenyoucantfallasleepbecauserealityisfinallybetterthanyourdreams
Aroomwithoutbooksislikeabodywithoutasoul
Somanybookssolittletime
Youonlyliveoncebutifyoudoitrightonceisenough
Bethechangethatyouwishtoseeintheworld
InthreewordsIcansumupeverythingIvelearnedaboutlife:itgoeson
Friendship
Ifyouwanttoknowwhatamansliketakeagoodlookathowhetreatshisinferiorsnothisequals
Don’twalkinfrontofme…ImaynotfollowDon’twalkbehindme…ImaynotleadWalkbesideme…justbemyfriend
Noonecanmakeyoufeelinferiorwithoutyourconsent
Ifyoutellthetruthyoudonthavetorememberanything
Afriendissomeonewhoknowsallaboutyouandstilllovesyou
Alwaysforgiveyourenemies;nothingannoysthemsomuch
Ivelearnedthatpeoplewillforgetwhatyousaidpeoplewillforgetwhatyoudidbutpeoplewillneverforgethowyoumadethemfeel
Liveasifyouweretodietomorrow
IamsocleverthatsometimesIdontunderstandasinglewordofwhatIamsaying
Darknesscannotdriveoutdarkness:onlylightcandothat
Toliveistherarestthingintheworld
Withoutmusiclifewouldbeamistake
Insanityisdoingthesamethingoverandoveragainbutexpectingdifferentresults
Tobeyourselfinaworldthatisconstantlytryingtomakeyousomethingelseisthegreatestaccomplishment
Ibelievethateverythinghappensforareason
Twentyyearsfromnowyouwillbemoredisappointedbythethingsthatyoudidntdothanbytheonesyoudiddo
Weacceptthelovewethinkwedeserve
Itisbettertobehatedforwhatyouarethantobelovedforwhatyouarenot
Imperfectionisbeautymadnessisgeniusanditsbettertobeabsolutelyridiculousthanabsolutelyboring
AllthatisgolddoesnotglitterNotallthosewhowanderarelost;TheoldthatisstrongdoesnotwitherDeeprootsarenotreachedbythefrost
Thepersonbeitgentlemanorladywhohasnotpleasureinagoodnovelmustbeintolerablystupid
Thereareonlytwowaystoliveyourlife
Itisbettertoremainsilentattheriskofbeingthoughtafoolthantotalkandremovealldoubtofit
AshereadIfellinlovethewayyoufallasleep:slowlyandthenallatonce
ItisourchoicesHarrythatshowwhatwetrulyarefarmorethanourabilities
Lifeiswhathappenstoyouwhileyourebusymakingotherplans
Goodfriendsgoodbooksandasleepyconscience:thisistheideallife
Wheneveryoufindyourselfonthesideofthemajorityitistimetoreform(orpauseandreflect)
Itdoesnotdotodwellondreamsandforgettolive
Thefooldoththinkheiswisebutthewisemanknowshimselftobeafool
Awomanislikeateabag;youneverknowhowstrongitisuntilitsinhotwater
YesterdayishistorytomorrowisamysterytodayisagiftofGodwhichiswhywecallitthepresent
Weareallinthegutterbutsomeofusarelookingatthestars
Ifyoudontstandforsomethingyouwillfallforanything
Themanwhodoesnotreadhasnoadvantageoverthemanwhocannotread
Ihavenotfailed
Itisnotalackoflovebutalackoffriendshipthatmakesunhappymarriages
Theoppositeofloveisnothateitsindifference
Fairytalesaremorethantrue:notbecausetheytellusthatdragonsexistbutbecausetheytellusthatdragonscanbebeaten
Outsideofadogabookismansbestfriend
ImaynothavegonewhereIintendedtogobutIthinkIhaveendedupwhereIneededtobe
Iamenoughofanartisttodrawfreelyuponmyimagination
Adaywithoutsunshineislikeyouknownight
Ilikenonsenseitwakesupthebraincells
Neverputofftilltomorrowwhatmaybedonedayaftertomorrowjustaswell
Iloveyouwithoutknowinghoworwhenorfromwhere
IsolemnlyswearthatIamuptonogood
Thatwhichdoesnotkillusmakesusstronger
Haveyoueverbeeninlove?Horribleisntit?Itmakesyousovulnerable
Lovealltrustafewdowrongtonone
Youhavebrainsinyourhead
Ifyoujudgepeopleyouhavenotimetolovethem
Thereisneveratimeorplacefortruelove
Foreveryminuteyouareangryyoulosesixtysecondsofhappiness
Beingdeeplylovedbysomeonegivesyoustrengthwhilelovingsomeonedeeplygivesyoucourage
MythoughtsarestarsIcannotfathomintoconstellations
Ilovedeadlines
Itisnevertoolatetobewhatyoumighthavebeen
AnyonewhothinkssittinginchurchcanmakeyouaChristianmustalsothinkthatsittinginagaragecanmakeyouacar
AreaderlivesathousandlivesbeforehediessaidJojen
ImnotupsetthatyouliedtomeImupsetthatfromnowonIcantbelieveyou
Ifyoucantexplainittoasixyearoldyoudontunderstandityourself
Womenandcatswilldoastheypleaseandmenanddogsshouldrelaxandgetusedtotheidea
Ittakesagreatdealofbraverytostanduptoourenemiesbutjustasmuchtostanduptoourfriends
